date,symbol,action,quantity,price,status
2022-10-17T15:41:17.958019Z,ARKK,buy,4.47,36.545,filled
2022-10-17T15:40:32.394490Z,SQ,buy,2.4,56.67,filled
2022-10-14T15:06:59.075870Z,SQ,buy,0.307023,55.24,filled
2022-10-12T13:35:12.440434Z,SQ,sell,3.362396,53.36,filled
2022-10-12T13:34:59.835324Z,ARKK,sell,4.471781,35.4301,filled
2022-10-12T13:34:46.315143Z,AMZN,sell,0.797673,111.755,filled
2022-10-11T14:13:20.400152Z,SQ,buy,0.748853,53.415,filled
2022-10-10T16:16:36.085605Z,AMZN,sell,1.757015,113.835,filled
2022-10-10T16:16:05.591619Z,ARKK,sell,5.514266,36.275,filled
2022-10-10T16:15:05.782793Z,SQ,sell,3.544528,56.425,filled
2022-10-07T15:53:00.820359Z,ARKK,buy,0.914718,38.2873,filled
2022-10-07T15:50:46.168694Z,ARKK,buy,5.230351,38.235,filled
2022-10-07T15:50:30.758445Z,SQ,buy,3.396739,58.88,filled
2022-10-07T15:50:12.404326Z,AMZN,buy,1.737328,115.12,filled
2022-10-03T17:46:22.314294Z,ARKK,buy,1.438368,37.7651,filled
2022-09-26T14:40:34.708839Z,SQ,buy,1.122067,56.075,filled
2022-09-21T13:30:54.404426Z,SQ,buy,1.639265,61.0,filled
2022-09-20T20:49:11.228443Z,ARKK,buy,2.295684,43.56,cancelled
2022-09-20T20:47:52.937217Z,AMZN,buy,0.81736,122.35,filled
2022-09-21T13:30:04.505880Z,ARKK,buy,2.40261,41.62,filled
2022-08-12T16:15:20.896932Z,ARKK,sell,3.921953,51.23,filled
2022-08-08T17:27:50.464655Z,ARKK,buy,3.921953,50.995,filled
2022-07-25T15:13:54.456922Z,SPY,sell,0.267691,394.42,filled
2022-07-25T15:13:43.445912Z,ORC,sell,37.833627,3.0835,filled
2022-07-25T15:13:31.151483Z,AAPL,sell,1.08395,152.6,filled
2022-07-25T15:13:20.409009Z,IVR,sell,0.070596,15.955,filled
2022-07-25T15:13:07.893242Z,AMZN,sell,1.004824,121.515,filled
2022-07-25T15:12:58.056926Z,F,sell,1.061423,12.835,filled
2022-07-25T15:12:41.863826Z,ARKK,sell,4.000124,45.53,filled
2022-07-25T15:12:30.858006Z,SQ,sell,1.999663,71.0309,filled
2022-07-25T15:12:15.831176Z,HMC,sell,1.003461,25.595,filled
2022-07-25T15:12:03.315233Z,UPS,sell,0.303827,189.1,filled
2022-07-25T15:11:47.795522Z,VLO,sell,1.037902,108.5147,filled
2022-07-25T15:11:36.782279Z,SHEL,sell,1.011247,49.645,filled
2022-07-25T15:11:23.261960Z,GOOG,sell,0.44812,108.5816,filled
2022-07-25T15:11:08.241038Z,IIPR,sell,0.059654,92.36,filled
2022-07-18T15:25:11.508687Z,IIPR,buy,0.050745,98.53,filled
2022-07-11T18:25:11.308391Z,ORC,buy,3.143362,2.825,filled
2022-07-11T18:24:46.782749Z,HMC,sell,0.37,24.005,filled
2022-07-11T18:17:19.137546Z,ORC,buy,34.336283,2.825,filled
2022-07-11T18:16:45.078600Z,ORC,buy,0.353982,2.825,filled
2022-07-11T18:13:46.787955Z,IIPR,buy,0.008909,112.235,filled
2022-07-11T18:12:58.724278Z,IVR,buy,0.070596,14.165,filled
2022-07-11T15:43:01.209004Z,UPS,buy,0.161633,185.605,filled
2022-07-11T15:41:32.598816Z,HMC,buy,0.380952,24.045,filled
2022-07-11T15:40:05.991563Z,AMZN,buy,0.52,112.775,filled
2022-07-11T15:37:56.802425Z,VLO,buy,0.8,106.12,filled
2022-07-11T15:37:35.783174Z,SHEL,buy,0.5,48.26,filled
2022-07-11T15:36:53.723940Z,HMC,buy,0.5,24.065,filled
2022-07-08T18:31:51.925225Z,AAPL,buy,0.7,147.275,filled
2022-07-08T18:31:29.363777Z,SQ,buy,0.2,67.365,filled
2022-07-08T18:31:07.657386Z,ARKK,buy,0.25,46.935,filled
2022-06-23T17:14:28.326215Z,ARKK,buy,0.533665,42.105,filled
2022-06-23T16:59:10.666985Z,ARKK,buy,0.523,42.067,filled
2022-06-23T16:58:36.838226Z,SPY,buy,0.267691,373.57,filled
2022-06-23T16:56:58.174789Z,UPS,buy,0.142194,175.815,filled
2022-06-23T16:54:52.666404Z,SHEL,buy,0.511247,48.9,filled
2022-06-23T16:52:14.623672Z,VLO,buy,0.237902,105.085,filled
2022-06-23T16:44:31.202144Z,GOOG,buy,0.022406,2231.465,filled
2022-06-16T16:20:57.708478Z,ARKK,buy,2.153721,37.145,filled
2022-06-16T16:20:36.181683Z,ARKK,buy,0.539738,37.055,filled
2022-06-16T16:19:40.605989Z,F,buy,1.061423,11.315,filled
2022-06-16T16:19:17.573697Z,HMC,buy,0.492509,24.365,filled
2022-06-16T16:18:20.492631Z,AMZN,buy,0.484824,103.13,filled
2022-06-16T16:17:17.895804Z,AAPL,buy,0.38395,130.225,filled
2022-06-16T16:10:19.660514Z,SQ,buy,0.863408,57.91,filled
2022-06-14T19:03:55.242432Z,SQ,buy,0.936255,60.0092,filled
2022-06-10T21:04:04.592935Z,SQ,buy,0.971236,75.79,cancelled
2021-12-28T17:06:20.716989Z,SDIV,sell,22.904496,12.4708,filled
2021-12-28T17:06:05.698466Z,BABA,sell,1.59453,114.7126,filled
2021-12-28T17:05:49.178283Z,IVR,sell,57.582377,2.874,filled
2021-12-28T17:05:28.653039Z,SQ,sell,0.297256,164.71,filled
2021-12-16T16:06:01.524867Z,BABA,buy,0.416701,119.99,filled
2021-12-14T14:32:02.245969Z,SDIV,buy,0.187603,12.1,filled
2021-12-06T20:01:05.970849Z,SQ,buy,0.297256,177.8598,filled
2021-11-18T16:50:47.884661Z,BABA,buy,0.342829,145.845,filled
2021-11-15T14:34:40.720388Z,SDIV,buy,0.156334,12.985,filled
2021-11-05T14:15:36.118994Z,IVR,buy,7.348281,3.345,filled
2021-11-05T14:15:16.798334Z,BABA,buy,0.153605,162.755,filled
2021-11-05T14:05:23.620646Z,IVR,buy,11.956359,3.3455,filled
2021-11-05T14:04:28.435203Z,BABA,buy,0.460433,162.89,filled
2021-10-27T14:35:59.686103Z,SDIV,sell,0.225789,13.28,filled
2021-10-19T15:25:54.175819Z,IVR,buy,15.578817,3.205,filled
2021-10-14T13:32:33.568828Z,SDIV,buy,0.152239,13.4,filled
2021-10-01T13:59:19.379541Z,IVR,buy,22.69892,3.1583,filled
2021-10-01T13:58:47.992947Z,SDIV,sell,2.988315,13.2614,filled
2021-10-01T13:58:17.894689Z,BABA,sell,0.220851,145.075,filled
2021-10-01T13:42:06.557785Z,BABA,buy,0.341145,146.565,filled
